order,family,genus,species,sex.system,SCS,scs.notes,fem.2n,mal.2n,hap
Orthoptera,Acrididae,Abracris,Abracris_dilecta,,XO,,24,23,12
Orthoptera,Acrididae,Abracris,Abracris_sp._B,,XO,,22,21,11
Orthoptera,Acrididae,Adimantus,Adimantus_cubiceps,,XO,,24,23,12
Orthoptera,Acrididae,Adimantus,Adimantus_ornatissimus,,XO,,24,23,12
Orthoptera,Tettigoniidae,Aerotegmina,Aerotegmina_kilimandjarica,gonochorous,XO,,34,33,17
Orthoptera,Tettigoniidae,Aerotegmina,Aerotegmina_shengenae,gonochorous,XO,,28,27,14
Orthoptera,Acrididae,Albretchia,Albretchia_palpata,,XO,,24,23,12
Orthoptera,Romaleidae,Alcamenes,Alcamenes_clarazianus,,XO,,24,23,12
Orthoptera,Acrididae,Aleuas,Aleuas_gracilis,,XY,,20,20,10
Orthoptera,Acrididae,Aleuas,Aleuas_lineatus,,XY,,20,20,10
Orthoptera,Acrididae,Aleuas,Aleuas_sp._1,,XY,,20,20,10
Orthoptera,Acrididae,Aleuas,Aleuas_sp._2,,XY,,22,22,11
Orthoptera,Acrididae,Aleuas,Aleuas_sp._3,,XY,,20,20,10
Orthoptera,Acrididae,Aleuas,Aleuas_vitticollis,,XO,,20,19,10
Orthoptera,Acrididae,Allotruxalis,Allotruxalis_sp.,,XO,,24,23,12
Orthoptera,Acrididae,Allotruxalis,Allotruxalis_strigata,,XO,,24,23,12
Orthoptera,Acrididae,Amblytropidia,Amblytropidia_australis,,XO,,24,23,12
Orthoptera,Romaleidae,Antandrus,Antandrus_viridus,,XO,,24,23,12
Orthoptera,Acrididae,Apacris,Apacris_rubrithorax,,XO,,24,23,12
Orthoptera,Acrididae,Apacris,Apacris_sp._1,,XO,,24,23,12
Orthoptera,Acrididae,Apolobamba,Apolobamba_prope_pulchra,,XO,,24,23,12
Orthoptera,Tristiridae,Atacamacris,Atacamacris_diminuta,,XY,,10,10,5
Orthoptera,Acrididae,Atrachelacris,Atrachelacris_olivaceus,,XY,,22,22,11
Orthoptera,Acrididae,Atrachelacris,Atrachelacris_unicolor,,XY,,22,22,11
Orthoptera,Ommexechidae,Aucacris,Aucacris_bullocki,,XO,,24,23,12
Orthoptera,Acrididae,Baeacris,Baeacris_punctulatus,gonochorous,XY,,22,22,11
Orthoptera,Acrididae,Belosacris,Belosacris_coccineipes,,XO,,24,23,12
Orthoptera,Acrididae,Bucephalacris,Bucephalacris_bohlsii,,XO,,22,21,11
Orthoptera,Ommexechidae,Calcitrena,Calcitrena_maculosa,,XO,,24,23,12
Orthoptera,Acrididae,Carbonellacris,Carbonellacris_grossa,,XO,,24,23,12
Orthoptera,Romaleidae,Chariacris,Chariacris_miniacea,,XO,,24,23,12
Orthoptera,Acrididae,Chirista,Chirista_compta,gonochorous,XO,,24,23,12
Orthoptera,Acrididae,Chlorus,Chlorus_bolivianus,,XO,,20,19,10
Orthoptera,Acrididae,Chlorus,Chlorus_borrelli,,XO,,22,21,11
Orthoptera,Acrididae,Chlorus,Chlorus_sp._1,,XO,,20,19,10
Orthoptera,Acrididae,Chlorus,Chlorus_vittatus,,XO,,24,23,12
Orthoptera,Romaleidae,Chromacris,Chromacris_miles,,XO,,24,23,12
Orthoptera,Romaleidae,Chromacris,Chromacris_peruviana,,XO,,24,23,12
Orthoptera,Romaleidae,Chromacris,Chromacris_speciosa,,XO,,24,23,12
Orthoptera,Ommexechidae,Clarazella,Clarazella_bimaculata,,XO,,24,23,12
Orthoptera,Ommexechidae,Clarazella,Clarazella_patagona,,XO,,24,23,12
Orthoptera,Acrididae,Cocytolettix,Cocytolettix_argentina,,XO,,24,23,12
Orthoptera,Acrididae,Cocytolettix,Cocytolettix_intermedia,,XO,,24,23,12
Orthoptera,Acrididae,Cocytolettix,Cocytolettix_pulchripennis,,XO,,24,23,12
Orthoptera,Acrididae,Cocytolettix,Cocytolettix_sp._1,,XO,,24,23,12
Orthoptera,Ommexechidae,Conometopus,Conometopus_sulcaticollis,,XO,,26,25,13
Orthoptera,Acrididae,Cornops,Cornops_aquaticum,,XO,,24,23,12
Orthoptera,Acrididae,Cornops,Cornops_frenatum,,XO,,24,23,12
Orthoptera,Romaleidae,Coryacris,Coryacris_angustipennis,,XO,,24,23,12
Orthoptera,Acrididae,Coryphosima,Coryphosima_stenoptera,gonochorous,XO,,24,23,12
Orthoptera,Acrididae,Covasacris,Covasacris_sp.,,XO,,24,23,12
Orthoptera,Ommexechidae,Cumainocloidus,Cumainocloidus_cordillerae,,XO,,24,23,12
Orthoptera,Ommexechidae,Descampsacris,Descampsacris_serrulata,,XO,,24,23,12
Orthoptera,Acrididae,Dichromatos,Dichromatos_corupa,gonochorous,XY,X1X1X2X2/X1X2Y,22,21,11
Orthoptera,Acrididae,Dichromatos,Dichromatos_lilloanus,gonochorous,XY,X1X1X2X2/X1X2Y,22,21,11
Orthoptera,Acrididae,Dichromatos,Dichromatos_montanus,gonochorous,XY,X1X1X2X2/X1X2Y,22,21,11
Orthoptera,Acrididae,Dichromatos,Dichromatos_schrottkyi,gonochorous,XY,X1X1X2X2/X1X2Y,22,21,11
Orthoptera,Acrididae,Dichromorpha,Dichromorpha_australis,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_alejomesai,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_auriventris,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_bergi,,XY,,22,22,11
Orthoptera,Acrididae,Dichroplus,Dichroplus_conspersus,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_democraticus,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_dubius,,complex XY,X1X1X2X2/X1X2Y,22,21,11
Orthoptera,Acrididae,Dichroplus,Dichroplus_elongatus,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_exilis,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_fuscus,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_fuscus.2,,XO,,20,19,10
Orthoptera,Acrididae,Dichroplus,Dichroplus_maculipennis,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_mantiqueirae,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_misionensis,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_obsurus,,XY,,18,18,9
Orthoptera,Acrididae,Dichroplus,Dichroplus_paraelongatus,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_paraguayensis,,XY,,20,20,10
Orthoptera,Acrididae,Dichroplus,Dichroplus_patruelis,,XO,,22,21,11
Orthoptera,Acrididae,Dichroplus,Dichroplus_piceomaculatus,,XY,,22,22,11
Orthoptera,Acrididae,Dichroplus,Dichroplus_porteri,,XY,,22,22,11
Orthoptera,Acrididae,Dichroplus,Dichroplus_pratensis,,XO,,20,19,10
Orthoptera,Acrididae,Dichroplus,Dichroplus_pseudopunctulatus,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_punctulatus,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_robustulus,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_robustus,,complex XY,X1X1X2X2/X1X2Y,22,21,11
Orthoptera,Acrididae,Dichroplus,Dichroplus_schulzi,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_silveiraguidoi,,XY,,8,8,4
Orthoptera,Acrididae,Dichroplus,Dichroplus_sp._11,,XO,,24,23,12
Orthoptera,Acrididae,Dichroplus,Dichroplus_sp._12,,XY,,20,20,10
Orthoptera,Acrididae,Dichroplus,Dichroplus_sp._13,,XY,,20,20,10
Orthoptera,Acrididae,Dichroplus,Dichroplus_sp._14,,XY,,22,22,11
Orthoptera,Acrididae,Dichroplus,Dichroplus_sp._15,,XY,,20,20,10
Orthoptera,Acrididae,Dichroplus,Dichroplus_sp._16,,XY,,22,22,11
Orthoptera,Acrididae,Dichroplus,Dichroplus_vittatus,,XY,,20,20,10
Orthoptera,Acrididae,Dichroplus,Dichroplus_vittatus.2,,XY,,18,18,9
Orthoptera,Acrididae,Dichroplus,Dichroplus_vittigerum,,XY,,18,18,9
Orthoptera,Romaleidae,Diponthus,Diponthus_clarazianus,,XO,,24,23,12
Orthoptera,Romaleidae,Diponthus,Diponthus_communis,,XY,,22,22,11
Orthoptera,Romaleidae,Diponthus,Diponthus_dispar,,XO,,22,21,11
Orthoptera,Romaleidae,Diponthus,Diponthus_electus,,XO,,22,21,11
Orthoptera,Romaleidae,Diponthus,Diponthus_maculiferus,,XO,,22,21,11
Orthoptera,Romaleidae,Diponthus,Diponthus_prope_communis,,XO,,24,23,12
Orthoptera,Romaleidae,Diponthus,Diponthus_sp.,,XO,,24,23,12
Orthoptera,Romaleidae,Elaeochlora,Elaeochlora_basalis,,XO,,24,23,12
Orthoptera,Romaleidae,Elaeochlora,Elaeochlora_brachyptera,,XO,,24,23,12
Orthoptera,Romaleidae,Elaeochlora,Elaeochlora_sp.,,XO,,24,23,12
Orthoptera,Romaleidae,Elaeochlora,Elaeochlora_trilineata,,XO,,24,23,12
Orthoptera,Romaleidae,Elaeochlora,Elaeochlora_viridicata,,XO,,24,23,12
Orthoptera,Tristiridae,Elysiacris,Elysiacris_angusticollis,,XO,,22,21,11
Orthoptera,ðPhalangopsidae,Endecous,Endecous_onthophagus,gonochorous,XO,,20,19,10
Orthoptera,ðPhalangopsidae,Endecous,Endecous_itatibensis,gonochorous,XO,,20,19,10
Orthoptera,ðPhalangopsidae,Endecous,Endecous_cavernicolus,gonochorous,XO,,22,21,11
Orthoptera,ðPhalangopsidae,Endecous,Endecous_batariensis,gonochorous,XO,,22,21,11
Orthoptera,ðPhalangopsidae,Endecous,Endecous_alejomesai,gonochorous,XO,,22,21,11
Orthoptera,Acrididae,Eucephalacris,Eucephalacris_borellii,,XO,,24,23,12
Orthoptera,Acrididae,Eujivarus,Eujivarus_fusiformis,,XO,,22,21,11
Orthoptera,Acrididae,Eujivarus,Eujivarus_sp._A,,XO,,22,21,11
Orthoptera,Acrididae,Eujivarus,Eujivarus_sp._B,,XO,,22,21,11
Orthoptera,Acrididae,Eujivarus,Eujivarus_sp._C,,XO,,22,21,11
Orthoptera,Acrididae,Eujivarus,Eujivarus_vittatus,,XO,,24,23,12
Orthoptera,Acrididae,Eulampiacris,Eulampiacris_leucoptera,,XO,,24,23,12
Orthoptera,Acrididae,Euplectrotettix,Euplectrotettix_sp._1,,XO,,24,23,12
Orthoptera,Acrididae,Euplectrotettix,Euplectrotettix_sp._2,,XO,,24,23,12
Orthoptera,Acrididae,Euplectrotettix,Euplectrotettix_sp._3,,XO,,24,23,12
Orthoptera,Acrididae,Eurotettix,Eurotettix_lilloanus,,complex XY,X1X1X2X2/X1X2Y,22,21,11
Orthoptera,Acrididae,Eurotettix,Eurotettix_minor,,XY,,22,22,11
Orthoptera,Acrididae,Eurotettix,Eurotettix_schrottkyi,,complex XY,X1X1X2X2/X1X2Y,22,21,11
Orthoptera,Acrididae,Eurotettix,Eurotettix_sp._1,,complex XY,X1X1X2X2/X1X2Y,22,21,11
Orthoptera,Acrididae,Eurotettix,Eurotettix_sp._2,,complex XY,X1X1X2X2/X1X2Y,22,21,11
Orthoptera,Acrididae,Eusitalces,Eusitalces_sp._A,,XO,,24,23,12
Orthoptera,Acrididae,Eusitalces,Eusitalces_vulneratus,,XO,,24,23,12
Orthoptera,Romaleidae,Eutropidacris,Eutropidacris_collares,,XO,,24,23,12
Orthoptera,Acrididae,Eutryxalis,Eutryxalis_sp.,,XO,,24,23,12
Orthoptera,Acrididae,Fenestra,Fenestra_bohlsii,,XO,,24,23,12
Orthoptera,Ommexechidae,Graea,Graea_horrida,,XO,,24,23,12
Orthoptera,Gryllotalpidae,Gryllotalpa,Gryllotalpa_marismortui,,XO,,24,23,12
Orthoptera,Gryllotalpidae,Gryllotalpa,Gryllotalpa_tali,,XO,,20,19,10
Orthoptera,Gryllotalpidae,Gryllotalpa,Gryllotalpa_gryllotalpa,,XY,,12,12,6
Orthoptera,Gryllotalpidae,Gryllotalpa,Gryllotalpa_stepposa,,XY,,12,12,6
Orthoptera,Gryllotalpidae,Gryllotalpa,Gryllotalpa_unispina,,XO,,20,19,10
Orthoptera,Acrididae,Haroldgrantia,Haroldgrantia_lignosa,,XO,,24,23,12
Orthoptera,Acrididae,Hyalopteryx,Hyalopteryx_rufipennis,,XO,,24,23,12
Orthoptera,Tristiridae,Illapelia,Illapelia_penai,,XO,,24,23,12
Orthoptera,Acrididae,Isonyx,Isonyx_paragauyensis,,XO,,24,23,12
Orthoptera,Acrididae,Isonyx,Isonyx_sp._1,,XO,,24,23,12
Orthoptera,Tettigoniidae,Isophya,Isophya_modestior,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_rammei,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_rectipennis,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_kalishevskii,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_schneideri,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_speciosa,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_hospodat,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_tosevski,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_andreevae,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_miksici,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_plevnensis,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_pravdini pravdini,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_pravdini adamovici,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_modesta longicaudata,gonochorous,XO,,32,31,16
