order,family,genus,species,sex.system,SCS,scs.notes,fem.2n,mal.2n,hap
Orthoptera,Tettigoniidae,Isophya,Isophya_rhodopensis,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_petkovi,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_kisi,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_bureschi,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_gulae,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_obtusa,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_altaica,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_camptoxypha,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_krausii,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_pienensis,gonochorous,XO,,32,31,16
Orthoptera,Tettigoniidae,Isophya,Isophya_hemiptera,gonochorous,XY,neo-XY,30,30,15
Orthoptera,Acrididae,Jodacris,Jodacris_chapadensis,,XO,,20,19,10
Orthoptera,Acrididae,Jodacris,Jodacris_ferrugineus,,XO,,20,19,10
Orthoptera,Acrididae,Jodacris,Jodacris_furcillata,,XO,,20,19,10
Orthoptera,Lentulidae,Karruacris,Karruacris_browni,gonochorous,XY,X1X1X2X2/X1X2Y,NA,NA,
Orthoptera,Acrididae,Lamiacris,Lamiacris_migroguttata,,XO,,24,23,12
Orthoptera,Acrididae,Laplatacris,Laplatacris_dispar,,XO,,24,23,12
Orthoptera,Acrididae,Laplatacris,Laplatacris_sp._1,,XO,,24,23,12
Orthoptera,Acrididae,Leiotettix,Leiotettix_politus,gonochorous,XY,X1X1X2X2/X1X2Y,14,NA,7
Orthoptera,Acrididae,Leiotettix,Leiotettix_flavipes,,XY,,22,22,11
Orthoptera,Acrididae,Leiotettix,Leiotettix_politus,,XY,,14,14,7
Orthoptera,Acrididae,Leiotettix,Leiotettix_politus.2,,complex XY,X1X1X2X2/X1X2Y,14,13,7
Orthoptera,Acrididae,Leiotettix,Leiotettix_pulcher,,XY,,22,22,11
Orthoptera,Acrididae,Leiotettix,Leiotettix_sanguineus,,XO,,24,23,12
Orthoptera,Acrididae,Leiotettix,Leiotettix_sp._1,,complex XY,X1X1X2X2/X1X2Y,16,15,8
Orthoptera,Acrididae,Leiotettix,Leiotettix_sp._2,,XY,,18,18,9
Orthoptera,Acrididae,Leiotettix,Leiotettix_sp._3,,XO,,24,23,12
Orthoptera,Acrididae,Leiotettix,Leiotettix_viridis,,XO,,24,23,12
Orthoptera,Acrididae,Leptysma,Leptysma_dorsalis,,XO,,24,23,12
Orthoptera,Acrididae,Leptysmina,Leptysmina_pallida,,XO,,24,23,12
Orthoptera,Acrididae,Leptysmina,Leptysmina_sp._1,,XO,,24,23,12
Orthoptera,Acrididae,Machaeropeles,Machaeropeles_rostratum,,XO,,24,23,12
Orthoptera,Pauliniidae,Marellia,Marellia_remipes,,XO,,24,23,12
Orthoptera,Acrididae,Mastusia,Mastusia_quadricarinata,,XO,,24,23,12
Orthoptera,Acrididae,Meloscirtus,Meloscirtus_montanus,,XO,,24,23,12
Orthoptera,Acrididae,Meloscirtus,Meloscirtus_sp._1,,XO,,24,23,12
Orthoptera,Acrididae,Metaleptea,Metaleptea_brevicornis_adspersa,,XO,,24,23,12
Orthoptera,Acrididae,Nahuelia,Nahuelia_rubriventris,,XO,,24,23,12
Orthoptera,Acrididae,Neopedies,Neopedies_brunneri,,XO,,24,23,12
Orthoptera,Acrididae,Neopedies,Neopedies_sp._1,,XO,,24,23,12
Orthoptera,Acrididae,Neopedies,Neopedies_sp._2,,XO,,24,23,12
Orthoptera,Acrididae,Neopedies,Neopedies_sp._3,,XO,,24,23,12
Orthoptera,Acrididae,Neopedies,Neopedies_sp._4,,XO,,24,23,12
Orthoptera,Ommexechidae,Neuquina,Neuquina_fictor,,XY,,22,22,11
Orthoptera,Acrididae,Notopomala,Notopomala_glaucipes,,XO,,24,23,12
Orthoptera,Acrididae,Omalotettix,Omalotettix_obliquum,,XO,,22,21,11
Orthoptera,Acrididae,Ommatolampis,Ommatolampis_perspicillata,,XO,,24,23,12
Orthoptera,Ommexechidae,Ommexecha,Ommexecha_sp.,,XO,,24,23,12
Orthoptera,Ommexechidae,Ommexecha,Ommexecha_virens,,XO,,24,23,12
Orthoptera,Ommexechidae,Ommexechia,Ommexechia_germari,,XO,,22,21,11
Orthoptera,Pyrgomorphidae,Omura,Omura_congrua,,XO,,20,19,10
Orthoptera,Acrididae,Orphula,Orphula_sp.,,XO,,24,23,12
Orthoptera,Acrididae,Orphulella,Orphulella_concinnula,,XO,,24,23,12
Orthoptera,Acrididae,Orphulella,Orphulella_punctata,,XO,,24,23,12
Orthoptera,Acrididae,Orphulella,Orphulella_sp.,,XO,,24,23,12
Orthoptera,Acrididae,Orphulina,Orphulina_pulchella,,XO,,24,23,12
Orthoptera,Acrididae,Osmilia,Osmilia_flavolineata,,XO,,24,23,12
Orthoptera,Acrididae,Oxyblepta,Oxyblepta_sp.,,XO,,24,23,12
Orthoptera,Acrididae,Oxybleptella,Oxybleptella_sagitta,,XO,,24,23,12
Orthoptera,Ommexechidae,Pachyosa,Pachyosa_signata,,XY,,22,22,11
Orthoptera,Acrididae,Paraorphula,Paraorphula_graminea,,XO,,24,23,12
Orthoptera,Acrididae,Parapellopedon,Parapellopedon_instabilis,,XO,,24,23,12
Orthoptera,Acrididae,Parapellopedon,Parapellopedon_sp.,,XO,,24,23,12
Orthoptera,Acrididae,Parascopas,Parascopas_exertus,,XO,,22,21,11
Orthoptera,Acrididae,Parascopas,Parascopas_obesus,,XO,,24,23,12
Orthoptera,Acrididae,Parascopas,Parascopas_sanguineus,,XO,,24,23,12
Orthoptera,Acrididae,Parascopas,Parascopas_similis,,XO,,24,23,12
Orthoptera,Acrididae,Paratylotropidia,Paratylotropidia_morsei,gonochorous,XY,X1X1X2X2/X1X2Y,NA,NA,
Orthoptera,Acrididae,Paropaon,Paropaon_laevifrons,,XO,,24,23,12
Orthoptera,Acrididae,Paropaon,Paropaon_pilosus_tingomariae,,XO,,24,23,12
Orthoptera,Pauliniidae,Paulinia,Paulinia_acuminata,,XO,,24,23,12
Orthoptera,Acrididae,Pedies,Pedies_andeanus,,XO,,22,21,11
Orthoptera,Acrididae,Pedies,Pedies_sp._1,,XO,,22,21,11
Orthoptera,Acrididae,Pedies,Pedies_sp._2,,XO,,22,21,11
Orthoptera,Acrididae,Pedies,Pedies_sp._3,,XO,,22,21,11
Orthoptera,Acrididae,Pedies,Pedies_sp._4,,XO,,24,23,12
Orthoptera,Tristiridae,Peplacris,Peplacris_recutita,,XO,,22,21,11
Orthoptera,Romaleidae,Prionolopha,Prionolopha_serrata,,XO,,24,23,12
Orthoptera,Romaleidae,Procolpia,Procolpia_minor,,XO,,24,23,12
Orthoptera,Acrididae,Propedies,Propedies_bilobus,,XO,,24,23,12
Orthoptera,Acrididae,Propedies,Propedies_bipunctatus,,XO,,24,23,12
Orthoptera,Acrididae,Propedies,Propedies_fusiformis,,XO,,24,23,12
Orthoptera,Acrididae,Propedies,Propedies_olivaceus,,XO,,24,23,12
Orthoptera,Acrididae,Propedies,Propedies_sanguineus,,XO,,24,23,12
Orthoptera,Acrididae,Propedies,Propedies_sp._1,,XO,,24,23,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas_nigrigena,,XO,,24,23,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas_sp._1,,XO,,24,23,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas_sp._2,,XO,,24,23,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas_sp._3,,XO,,24,23,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas_sp._4,,XO,,24,23,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas_sp._5,,XO,,24,23,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas_sp._6,,XO,,24,23,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas_sp._7,,XO,,24,23,12
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas_sp._8,,XO,,24,23,12
Orthoptera,Acrididae,Psiloscirtus,Psiloscirtus_bolivianus,,XO,,24,23,12
Orthoptera,Acrididae,Psiloscirtus,Psiloscirtus_olivaceus,,XO,,24,23,12
Orthoptera,Acrididae,Psiloscirtus,Psiloscirtus_sp._A,,XO,,24,23,12
Orthoptera,Acrididae,Pycnosarcus,Pycnosarcus_atavus,,XO,,18,17,9
Orthoptera,Acrididae,Ronderosia,Ronderosia_dubius,gonochorous,XY,X1X1X2X2/X1X2Y,22,21,11
Orthoptera,Acrididae,Ronderosia,Ronderosia_robustus,gonochorous,XY,X1X1X2X2/X1X2Y,22,21,11
Orthoptera,Acrididae,Schistocerca,Schistocerca_cancellata,,XO,,24,23,12
Orthoptera,Acrididae,Schistocerca,Schistocerca_flavofasciata,,XO,,24,23,12
Orthoptera,Acrididae,Schistocerca,Schistocerca_pallens,,XO,,24,23,12
Orthoptera,Acrididae,Schistocerca,Schistocerca_paraensis,,XO,,24,23,12
Orthoptera,Acrididae,Schistocerca,Schistocerca_sp.,,XO,,24,23,12
Orthoptera,Acrididae,Scotussa,Scotussa_daguerrei,gonochorous,XY,X1X1X2X2/X1X2Y,22,21,11
Orthoptera,Acrididae,Scotussa,Scotussa_cliens,,XO,,22,21,11
Orthoptera,Acrididae,Scotussa,Scotussa_daguerrei,,complex XY,X1X1X2X2/X1X2Y,22,21,11
Orthoptera,Acrididae,Scotussa,Scotussa_delicatula,,XY,,16,16,8
Orthoptera,Acrididae,Scotussa,Scotussa_impudica,,XO,,24,23,12
Orthoptera,Acrididae,Scotussa,Scotussa_lemniscata,,XO,,24,23,12
Orthoptera,Acrididae,Scotussa,Scotussa_liebermanni,,XO,,22,21,11
Orthoptera,Acrididae,Scotussa,Scotussa_sp._1,,XO,,24,23,12
Orthoptera,Acrididae,Scyllina,Scyllina_humilis,,XO,,24,23,12
Orthoptera,Acrididae,Scyllina,Scyllina_signatipennis,,XY,,22,22,11
Orthoptera,Acrididae,Scyllina,Scyllina_sp.,,XO,,24,23,12
Orthoptera,Acrididae,Scyllinops,Scyllinops_brunneri,,XO,,24,23,12
Orthoptera,Acrididae,Scyllinops,Scyllinops_pallida,,XO,,24,23,12
Orthoptera,Acrididae,Scyllinops,Scyllinops_sp._1,,XO,,24,23,12
Orthoptera,Acrididae,Scyllinops,Scyllinops_sp._2,,XO,,24,23,12
Orthoptera,Romaleidae,Securigera,Securigera_acutangula,,XO,,24,23,12
Orthoptera,Acrididae,Silvitettix,Silvitettix_concolor,,XO,,24,23,12
Orthoptera,Acrididae,Sinipta,Sinipta_acuta,,XO,,24,23,12
Orthoptera,Acrididae,Sinipta,Sinipta_dalmani,,XO,,24,23,12
Orthoptera,Acrididae,Sinipta,Sinipta_maldonadoi,,XO,,24,23,12
Orthoptera,Acrididae,Sitalces,Sitalces_dorsalis,,XO,,24,23,12
Orthoptera,Acrididae,Sitalces,Sitalces_infuscatus,,XO,,24,23,12
Orthoptera,Acrididae,Sitalces,Sitalces_volxemi,,XO,,20,19,10
Orthoptera,Ommexechidae,Spathalium,Spathalium_audouini,,XY,,22,22,11
Orthoptera,Acrididae,Staurorhectus,Staurorhectus_longicornis,,XO,,24,23,12
Orthoptera,Acrididae,Stenopola,Stenopola_bohlsii,,XO,,24,23,12
Orthoptera,Acrididae,Stenopola,Stenopola_boliviana,,XO,,24,23,12
Orthoptera,Acrididae,Stenopola,Stenopola_dorsalis,,XO,,24,23,12
Orthoptera,Acrididae,Stenopola,Stenopola_pallida,,XO,,22,21,11
Orthoptera,Acrididae,Stenopola,Stenopola_rubrifons,,XO,,24,23,12
Orthoptera,Acrididae,Stereotettix,Stereotettix_sp._1,,XO,,24,23,12
Orthoptera,Acrididae,Tetrataenia,Tetrataenia_surinama,,XO,,20,19,10
Orthoptera,Ommexechidae,Tetrixocephalus,Tetrixocephalus_chilensis,,XO,,24,23,12
Orthoptera,Ommexechidae,Tetrixocephalus,Tetrixocephalus_micropterus,,XO,,24,23,12
Orthoptera,Ommexechidae,Tetrixocephalus,Tetrixocephalus_sergioi,,XO,,24,23,12
Orthoptera,Ommexechidae,Tetrixocephalus,Tetrixocephalus_sp.,,XO,,24,23,12
Orthoptera,Ommexechidae,Tetrixocephalus,Tetrixocephalus_willemsei,,XY,,22,22,11
Orthoptera,Acrididae,Trimerotropis,Trimerotropis_ochraceipennis,,XO,,24,23,12
Orthoptera,Acrididae,Trimerotropis,Trimerotropis_pallidipennis,,XO,,24,23,12
Orthoptera,Tristiridae,Tropidostethus,Tropidostethus_bicarinatus,,XO,,22,21,11
Orthoptera,Romaleidae,Xestotrachelus,Xestotrachelus_robustus,,XO,,24,23,12
Orthoptera,Acrididae,Xiphiola,Xiphiola_borellii,,XO,,24,23,12
Orthoptera,Romaleidae,Xyleus,Xyleus_attenuatus,,XO,,24,23,12
Orthoptera,Romaleidae,Xyleus,Xyleus_discoideus,,XO,,24,23,12
Orthoptera,Romaleidae,Xyleus,Xyleus_gracilis,,XO,,24,23,12
Orthoptera,Romaleidae,Xyleus,Xyleus_insignis,,XO,,24,23,12
Orthoptera,Romaleidae,Xyleus,Xyleus_laevipes,,XY,,22,22,11
Orthoptera,Romaleidae,Xyleus,Xyleus_modestus,,XO,,24,23,12
Orthoptera,Romaleidae,Xyleus,Xyleus_sp._1,,XO,,24,23,12
Orthoptera,Romaleidae,Xyleus,Xyleus_sp._2,,XO,,24,23,12
Orthoptera,Romaleidae,Xyleus,Xyleus_sp._3,,XO,,24,23,12
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda_hempeli,,XO,,24,23,12
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda_iheringi,,XY,,22,22,11
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda_juncorum,,XO,,24,23,12
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda_omnicolor,,XO,,24,23,12
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda_similis,,XO,,24,23,12
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda_tarsata,,XO,,24,23,12
Orthoptera,Acrididae,Zygoclistron,Zygoclistron_falconinum,,XY,,20,20,10
Orthoptera,Acrididae,Zygoclistron,Zygoclistron_nasicum,,XY,,20,20,10
Orthoptera,Acrididae,Zygoclistron,Zygoclistron_trachystictum,,XY,,20,20,10